"Table 6.2C. Compensation of Employees by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 06, 2015"
"Line"," ","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"56","            Insurance carriers",48143,51760,56782,61082,65528,68226,71369,74005,77558,82279
"57","            Insurance agents, brokers, and service",21133,22467,23999,25015,25984,26764,28402,29605,31359,33542
"58","            Real estate",33786,35293,36282,36244,37864,39086,41070,41836,44416,48241
"59","            Holding and other investment offices",12384,13201,14521,15327,17319,17921,17508,18158,19288,20843
"60","        Services",604178,667804,741310,780225,849400,906413,962083,1038233,1120351,1216983
"61","            Hotels and other lodging places",24883,27022,29300,29875,31382,32490,33598,35004,36823,39274
"62","            Personal services",16734,17758,19229,19841,20552,21514,22414,23741,25089,26908
"63","            Business services",98816,110840,123535,126284,141210,154041,170473,196409,226145,263043
"64","            Auto repair, services, and parking",18078,19493,21274,20946,21839,23274,24909,26583,28664,30557
"65","            Miscellaneous repair services",8903,9836,10637,9611,10273,10939,10663,11627,12437,12982
"66","            Motion pictures",9069,10001,11708,11823,12199,13491,14621,16613,18997,20885
"67","            Amusement and recreation services",17656,19588,22540,23929,26938,29403,30855,33965,37102,39876
"68","            Health services",193648,214535,240986,264154,288481,308633,324756,338250,352994,369665
"69","            Legal services",38925,42027,46286,47882,50879,52298,52778,54250,56683,60010
"70","            Educational services",30395,33037,35521,38496,41752,44366,47366,50385,53587,57303
"71","            Social services and membership organizations",49717,55011,60492,65897,70687,76531,82419,88556,93783,100617
"72","                Social services",21449,24305,27503,30699,34200,36906,39507,42306,44459,47364
"73","                Membership organizations",28268,30706,32989,35198,36487,39625,42912,46250,49324,53253
"74","            Other services 3",89008,99693,110375,112294,122986,128585,135991,150817,165891,183669
"75","            Private households",8344,8963,9428,9191,10222,10848,11241,12033,12156,12195
"76","    Government",579737,625049,676422,719926,765005,788355,816508,840127,863488,895601
"77","        Federal",196357,204432,215788,227340,233258,230623,230559,228555,228602,230773
"78","            General government",161932,168456,176006,186491,189571,188055,186073,183338,182172,183457
"79","                Civilian",85866,90632,96049,102630,107164,111455,112887,112343,112948,114183
"80","                Military 4",76067,77824,79957,83861,82407,76600,73186,70995,69224,69274
"81","            Government enterprises",34424,35976,39782,40849,43687,42568,44486,45217,46430,47316
"82","        State and local",383380,420617,460634,492585,531747,557732,585949,611572,634886,664828
"83","            General government",356280,391130,428683,458547,495321,519213,545530,569642,591374,618973
"84","                Education",185525,203661,223041,238967,256694,269882,282810,296781,310334,327171
"85","                Other 1",170755,187469,205642,219581,238627,249331,262720,272861,281040,291802
"86","            Government enterprises 1",27099,29488,31951,34038,36426,38519,40419,41930,43512,45855
"87","Rest of the world",-867,-1285,-2307,-2751,-2965,-3320,-4015,-4090,-4125,-4402
"88","    Receipts from the rest of the world",995,1017,1172,1290,1796,1820,1943,2179,2181,2270
"89","    Less:  Payments to the rest of the world 5",1862,2302,3479,4041,4761,5140,5958,6269,6306,6672
" ","Addenda:","","","","","","","","","",""
"90","  Households and institutions",193106,211746,233654,252425,273018,291410,307628,324186,339662,358223
"91","  Nonfarm business",2229013,2361110,2493199,2544050,2703179,2811122,2960478,3114089,3296999,3541299
"Legend / Footnotes:"
"1. Beginning with 1990, reflects the reclassification of employees of Indian tribal governments from the private sector to state and local government."
"2. Reflects the reclassification of air couriers from trucking and warehousing to transportation by air."
"3. Consists of museums, botanical and zoological gardens; engineering and management services; and services, not elsewhere classified."
"4. Includes Coast Guard."
"5. Beginning with 1993, includes estimates of foreign professional workers and undocumented Mexican migratory workers employed temporarily in the United States."
"Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC)."
